"BIC 1 component"	"BIC 2 components"	"BIC difference"	"LRT adj. p-val"
"1p"	68494.3180748223	67409.0039329181	1085.31414190419	0
"1q"	68494.3180748223	67498.1236728267	996.194401995584	0
"2p"	68494.3180748223	67914.2395061714	580.078568650861	0
"2q"	68494.3180748223	67945.2515407553	549.066534066922	0
"3p"	68494.3180748223	67813.0164278671	681.301646955151	0
"3q"	68494.3180748223	64830.6858214237	3663.63225339853	0
"4p"	68494.3180748223	67977.4015052979	516.916569524372	0
"4q"	68494.3180748223	67146.0105194473	1348.30755537498	0
"5p"	68494.3180748223	67787.3207946784	706.997280143856	0
"5q"	68494.3180748223	67415.8345637899	1078.48351103239	0
"6p"	68494.3180748223	68129.082622823	365.23545199928	0
"6q"	68494.3180748223	68007.1076490116	487.210425810626	0
"7p"	68494.3180748223	68104.9324040591	389.385670763106	0
"7q"	68494.3180748223	67286.9655636589	1207.35251116331	0
"8p"	68494.3180748223	67441.3859904431	1052.93208437914	0
"8q"	68494.3180748223	67661.3326186724	832.98545614988	0
"9p"	68494.3180748223	68086.8318470115	407.486227810747	0
"9q"	68494.3180748223	67658.2056793421	836.112395480144	0
"10p"	68494.3180748223	68148.6083378487	345.709736973527	0
"10q"	68494.3180748223	67693.4715419288	800.846532893454	0
"11p"	68494.3180748223	66235.6976198924	2258.62045492983	0
"11q"	68494.3180748223	67889.2354503184	605.082624503833	0
"12p"	68494.3180748223	68234.5759963649	259.742078457319	0
"12q"	68494.3180748223	67813.7016601113	680.616414710938	0
"13q"	68494.3180748223	68265.2191667737	229.098908048589	0
"14q"	68494.3180748223	67911.223535975	583.09453884729	0
"15q"	68494.3180748223	67537.936294604	956.381780218217	0
"16p"	68494.3180748223	67873.7026906478	620.615384174453	0
"16q"	68494.3180748223	67691.9976532992	802.320421523007	0
"17p"	68494.3180748223	68204.8146308997	289.503443922586	0
"17q"	68494.3180748223	67878.1060319053	616.212042916974	0
"18q"	68494.3180748223	68259.7612665299	234.556808292371	0
"19p"	68494.3180748223	68056.0158043456	438.302270476634	0
"19q"	68494.3180748223	68251.2732256578	243.044849164449	0
"20p"	68494.3180748223	67830.0140859323	664.303988889995	0
"20q"	68494.3180748223	67083.7625245819	1410.55555024036	0
"21q"	68494.3180748223	67587.1454289719	907.172645850354	0
"22q"	68494.3180748223	68139.3532757034	354.964799118839	0
