"BIC 1 component"	"BIC 2 components"	"BIC difference"	"LRT adj. p-val"
"1p"	79423.2788086299	77855.3048369796	1567.97397165034	0
"1q"	79423.2788086299	76990.748509444	2432.53029918595	0
"2p"	79423.2788086299	78419.9757738635	1003.30303476639	0
"2q"	79423.2788086299	78735.229213632	688.049594997938	0
"3p"	79423.2788086299	78471.3628930134	951.91591561657	0
"3q"	79423.2788086299	73727.1083393604	5696.17046926955	0
"4p"	79423.2788086299	78313.1083450073	1110.17046362262	0
"4q"	79423.2788086299	75612.8390047474	3810.43980388253	0
"5p"	79423.2788086299	78740.2429438381	683.035864791862	0
"5q"	79423.2788086299	78389.7524640585	1033.52634457142	0
"6p"	79423.2788086299	79023.4633054183	399.815503211619	0
"6q"	79423.2788086299	78653.7906078844	769.488200745516	0
"7p"	79423.2788086299	78424.0067743513	999.27203427862	0
"7q"	79423.2788086299	76381.0702936571	3042.20851497278	0
"8p"	79423.2788086299	77908.692968518	1514.58584011195	0
"8q"	79423.2788086299	78539.3185687988	883.960239831125	0
"9p"	79423.2788086299	78866.9888520671	556.289956562818	0
"9q"	79423.2788086299	77457.3622205635	1965.91658806642	0
"10p"	79423.2788086299	78568.0940160871	855.18479254283	0
"10q"	79423.2788086299	78349.8995961741	1073.37921245585	0
"11p"	79423.2788086299	76100.8290261513	3322.44978247864	0
"11q"	79423.2788086299	78505.3979765249	917.880832105002	0
"12p"	79423.2788086299	78399.7481737462	1023.53063488369	0
"12q"	79423.2788086299	77570.4213129016	1852.85749572833	0
"13q"	79423.2788086299	79158.2286080939	265.050200535989	0
"14q"	79423.2788086299	78537.9462171786	885.332591451312	0
"15q"	79423.2788086299	76993.4591093047	2429.81969932521	0
"16p"	79423.2788086299	78817.7286664646	605.550142165332	0
"16q"	79423.2788086299	76147.3293636949	3275.94944493502	0
"17p"	79423.2788086299	79015.4356232417	407.843185388192	0
"17q"	79423.2788086299	78743.319381477	679.959427152935	0
"18q"	79423.2788086299	79231.0773839668	192.201424663101	0
"19p"	79423.2788086299	79163.8198215337	259.458987096208	0
"19q"	79423.2788086299	79098.6023360007	324.676472629231	0
"20p"	79423.2788086299	78088.2937906955	1334.98501793438	0
"20q"	79423.2788086299	76321.4485846966	3101.83022393331	0
"21q"	79423.2788086299	75996.0086463065	3427.27016232339	0
"22q"	79423.2788086299	77732.2893700918	1690.98943853815	0
